total_bill,tip,sex,smoker,day,time,size,Filter
16.99,1.01,Female,No,Sun,Dinner,2,1
23.68,3.31,Male,No,Sun,Dinner,2,1
25.29,4.71,Male,No,Sun,Dinner,4,1
8.77,2,Male,No,Sun,Dinner,2,1
26.88,3.12,Male,No,Sun,Dinner,4,1
15.04,1.96,Male,No,Sun,Dinner,2,1
14.78,3.23,Male,No,Sun,Dinner,2,1
10.27,1.71,Male,No,Sun,Dinner,2,1
35.26,5,Female,No,Sun,Dinner,4,1
15.42,1.57,Male,No,Sun,Dinner,2,1
21.58,3.92,Male,No,Sun,Dinner,2,1
16.97,3.5,Female,No,Sun,Dinner,3,1
15.77,2.23,Female,No,Sat,Dinner,2,1
39.42,7.58,Male,No,Sat,Dinner,4,1
19.82,3.18,Male,No,Sat,Dinner,2,1
17.81,2.34,Male,No,Sat,Dinner,4,1
21.7,4.3,Male,No,Sat,Dinner,2,1
15.06,3,Female,No,Sat,Dinner,2,1
24.06,3.6,Male,No,Sat,Dinner,3,1
16.93,3.07,Female,No,Sat,Dinner,3,1
17.46,2.54,Male,No,Sun,Dinner,2,1
9.68,1.32,Male,No,Sun,Dinner,2,1
38.01,3,Male,Yes,Sat,Dinner,4,1
26.41,1.5,Female,No,Sat,Dinner,2,1
11.24,1.76,Male,Yes,Sat,Dinner,2,1
48.27,6.73,Male,No,Sat,Dinner,4,1
13.81,2,Male,Yes,Sat,Dinner,2,1
17.59,2.64,Male,No,Sat,Dinner,3,1
27.2,4,Male,No,Thur,Lunch,4,1
22.76,3,Male,No,Thur,Lunch,2,1
17.29,2.71,Male,No,Thur,Lunch,2,1
16.66,3.4,Male,No,Thur,Lunch,2,1
10.07,1.83,Female,No,Thur,Lunch,1,1
15.98,2.03,Male,No,Thur,Lunch,2,1
34.83,5.17,Female,No,Thur,Lunch,4,1
18.28,4,Male,No,Thur,Lunch,2,1
21.16,3,Male,No,Thur,Lunch,2,1
22.49,3.5,Male,No,Fri,Dinner,2,1
5.75,1,Female,Yes,Fri,Dinner,2,1
16.32,4.3,Female,Yes,Fri,Dinner,2,1
22.75,3.25,Female,No,Fri,Dinner,2,1
40.17,4.73,Male,Yes,Fri,Dinner,4,1
27.28,4,Male,Yes,Fri,Dinner,2,1
21.01,3,Male,Yes,Fri,Dinner,2,1
12.46,1.5,Male,No,Fri,Dinner,2,1
11.35,2.5,Female,Yes,Fri,Dinner,2,1
10.65,1.5,Female,No,Thur,Lunch,2,1
11.69,2.31,Male,No,Thur,Lunch,2,1
14.26,2.5,Male,No,Thur,Lunch,2,1
12.48,2.52,Female,No,Thur,Lunch,2,1
14.52,2,Female,No,Thur,Lunch,2,1
12.16,2.2,Male,Yes,Fri,Lunch,2,1
13.42,3.48,Female,Yes,Fri,Lunch,2,1
15.98,3,Female,No,Fri,Lunch,3,1
16.27,2.5,Female,Yes,Fri,Lunch,2,1
10.09,2,Female,Yes,Fri,Lunch,2,1
