total_bill,tip,sex,smoker,day,time,size,Filter
16.99,1.01,Female,No,Sun,Dinner,2,1
21.01,3.5,Male,No,Sun,Dinner,3,1
24.59,3.61,Female,No,Sun,Dinner,4,1
25.29,4.71,Male,No,Sun,Dinner,4,1
8.77,2,Male,No,Sun,Dinner,2,1
14.78,3.23,Male,No,Sun,Dinner,2,1
10.27,1.71,Male,No,Sun,Dinner,2,1
15.42,1.57,Male,No,Sun,Dinner,2,1
18.43,3,Male,No,Sun,Dinner,4,1
14.83,3.02,Female,No,Sun,Dinner,2,1
10.33,1.67,Female,No,Sun,Dinner,3,1
16.29,3.71,Male,No,Sun,Dinner,3,1
20.29,2.75,Female,No,Sat,Dinner,2,1
39.42,7.58,Male,No,Sat,Dinner,4,1
19.82,3.18,Male,No,Sat,Dinner,2,1
17.81,2.34,Male,No,Sat,Dinner,4,1
19.65,3,Female,No,Sat,Dinner,2,1
18.35,2.5,Male,No,Sat,Dinner,4,1
15.06,3,Female,No,Sat,Dinner,2,1
20.69,2.45,Female,No,Sat,Dinner,4,1
16.93,3.07,Female,No,Sat,Dinner,3,1
18.69,2.31,Male,No,Sat,Dinner,3,1
31.27,5,Male,No,Sat,Dinner,3,1
9.68,1.32,Male,No,Sun,Dinner,2,1
10.29,2.6,Female,No,Sun,Dinner,2,1
38.01,3,Male,Yes,Sat,Dinner,4,1
26.41,1.5,Female,No,Sat,Dinner,2,1
11.24,1.76,Male,Yes,Sat,Dinner,2,1
20.29,3.21,Male,Yes,Sat,Dinner,2,1
13.81,2,Male,Yes,Sat,Dinner,2,1
11.02,1.98,Male,Yes,Sat,Dinner,2,1
16.45,2.47,Female,No,Sat,Dinner,2,1
3.07,1,Female,Yes,Sat,Dinner,1,1
17.07,3,Female,No,Sat,Dinner,3,1
14.73,2.2,Female,No,Sat,Dinner,2,1
17.92,3.08,Male,Yes,Sat,Dinner,2,1
19.44,3,Male,Yes,Thur,Lunch,2,1
28.97,3,Male,Yes,Fri,Dinner,2,1
5.75,1,Female,Yes,Fri,Dinner,2,1
40.17,4.73,Male,Yes,Fri,Dinner,4,1
12.03,1.5,Male,Yes,Fri,Dinner,2,1
11.35,2.5,Female,Yes,Fri,Dinner,2,1
15.38,3,Female,Yes,Fri,Dinner,2,1
44.3,2.5,Female,Yes,Sat,Dinner,3,1
20.92,4.08,Female,No,Sat,Dinner,2,1
15.36,1.64,Male,Yes,Sat,Dinner,2,1
14.31,4,Female,Yes,Sat,Dinner,2,1
16,2,Male,Yes,Thur,Lunch,2,1
50.81,10,Male,Yes,Sat,Dinner,3,1
31.85,3.18,Male,Yes,Sun,Dinner,2,1
16.82,4,Male,Yes,Sun,Dinner,2,1
9.6,4,Female,Yes,Sun,Dinner,2,1
18.15,3.5,Female,Yes,Sun,Dinner,3,1
19.81,4.19,Female,Yes,Thur,Lunch,2,1
43.11,5,Female,Yes,Thur,Lunch,4,1
13,2,Female,Yes,Thur,Lunch,2,1
16.4,2.5,Female,Yes,Thur,Lunch,2,1
16.47,3.23,Female,Yes,Thur,Lunch,3,1
13.27,2.5,Female,Yes,Sat,Dinner,2,1
30.14,3.09,Female,Yes,Sat,Dinner,4,1
